RoadID,Length_km,Number_of_Bends,TrafficVolume_vehicles_per_hour,AccidentRisk
1,15.7,2,362,High
2,8.1,10,808,Medium
3,2.3,7,884,Low
4,2.5,2,492,Medium
5,3.0,13,816,Medium
6,17.0,13,377,Low
7,18.3,12,103,Medium
8,3.3,0,810,Medium
9,5.5,12,288,Medium
10,4.1,12,278,Medium
11,4.5,13,628,Low
12,16.9,7,100,High
13,7.3,2,658,Medium
14,6.9,1,653,Low
15,5.3,0,313,High
16,12.5,13,467,Medium
17,8.2,2,852,High
18,15.1,14,145,Medium
19,4.9,1,137,Medium
20,16.0,1,127,Low
21,12.5,5,337,Low
22,3.2,11,169,Medium
23,8.9,0,863,Medium
24,17.4,1,540,Low
25,18.5,13,961,Low
26,9.8,5,501,High
27,10.1,2,549,High
28,18.5,14,214,Medium
29,12.2,3,231,Low
30,1.6,0,518,Low
31,18.3,7,959,Low
32,5.7,12,784,High
33,12.0,6,872,Low
34,4.1,6,993,Medium
35,1.6,2,56,Low
36,6.9,9,379,Medium
37,15.8,9,824,Medium
38,6.3,2,722,High
39,5.2,13,200,Low
40,5.0,1,134,Low
41,10.8,11,196,Low
42,19.5,0,673,High
43,9.7,6,430,High
44,11.6,6,964,Medium
45,17.4,11,597,Medium
46,11.2,1,334,Medium
47,4.5,6,749,Low
48,6.7,12,131,High
49,6.9,7,563,Medium
50,8.5,0,946,Medium
